Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
0.00,179.0745544434,0.4625408247,0.4625408247,0.0000000000,-0.00616516,0.00000000,-0.0073322020,1
0.00,179.0936431885,0.5140787750,0.5140787750,0.0000000000,-0.01093111,-0.00002767,-0.0138989794,2
0.05,179.0897369385,0.1836182657,0.1836182657,0.0000000000,-0.00972875,-0.00001845,-0.0111155998,3
0.10,179.0981140137,0.1565848517,0.1565848517,0.0000000000,-0.00856598,-0.00001384,-0.0095350299,4
0.15,179.0934143066,0.1962051853,0.1962051853,0.0000000000,-0.00835096,0.00002064,-0.0097692680,5
0.20,179.0960998535,0.2101451411,0.2101451411,0.0000000000,-0.00836712,0.00001720,-0.0099694848,6
0.25,179.0998382568,0.2156237194,0.2156237194,0.0000000000,-0.00847570,0.00003970,-0.0102040355,7
0.30,179.1084747314,0.2338554489,0.2338554489,0.0000000000,-0.00877108,0.00003474,-0.0108213142,8
0.35,179.1166992188,0.2766228086,0.2766228086,0.0000000000,-0.00953733,0.00003088,-0.0125019869,9
0.40,179.1178283691,0.2545284597,0.2545284597,0.0000000000,-0.00976843,0.00004349,-0.0120080821,10
0.45,179.1182861328,0.2349827480,0.2349827480,0.0000000000,-0.00964949,0.00003954,-0.0112564340,11
0.50,179.1198577881,0.2497063648,0.2497063648,0.0000000000,-0.00977545,0.00004584,-0.0118848750,12
0.55,179.1001129150,0.2369279326,0.2369279326,0.0000000000,-0.00967366,0.00003468,-0.0112822963,13
0.60,179.1126556396,0.2600978455,0.2600978455,0.0000000000,-0.00991965,0.00003220,-0.0124057362,14
0.65,179.1182708740,0.2140405799,0.2140405799,0.0000000000,-0.00946589,0.00002682,-0.0100591150,15
0.70,179.1200866699,0.2158660984,0.2158660984,0.0000000000,-0.00918987,0.00002514,-0.0101539979,16
0.75,179.1201171875,0.2229655068,0.2229655068,0.0000000000,-0.00910636,0.00002975,-0.0105821243,17
0.80,179.1240997314,0.2190100707,0.2190100707,0.0000000000,-0.00897451,0.00000931,-0.0102539156,18
0.85,179.1249389648,0.2303971197,0.2303971197,0.0000000000,-0.00905158,0.00000882,-0.0110327593,19
0.90,179.1284637451,0.2239148844,0.2239148844,0.0000000000,-0.00902171,0.00001369,-0.0106232308,20
0.95,179.1299133301,0.2191922611,0.2191922611,0.0000000000,-0.00891385,-0.00000808,-0.0101952041,21
1.00,179.1199035645,0.2322345557,0.2322345557,0.0000000000,-0.00903072,-0.00000771,-0.0112056152,22
1.05,179.1143341064,0.2227002099,0.2227002099,0.0000000000,-0.00896541,-0.00002354,-0.0103869483,23
1.10,179.1030426025,0.2266772167,0.2266772167,0.0000000000,-0.00898644,-0.00002255,-0.0107805843,24
1.15,179.0959167480,0.2260396929,0.2260396929,0.0000000000,-0.00899135,-0.00002250,-0.0107204140,25
